lỗi,Key,KeyID,en,vn
tab_transport,create_duplicated_OTCode_failed,tab_transport.create_duplicated_OTCode_failed,The order transport code is duplicated,Mã vận đơn đã tồn tại
tab_transport,select_tracking,tab_transport.select_tracking,Select tracking,Chọn mã
tab_transport,confirm_delete_package,tab_transport.confirm_delete_package,Confirm delete package,Xác nhận xoá kiện hàng
tab_transport,confirm_delete_tracking,tab_transport.confirm_delete_tracking,Confirm delete tracking,Xác nhận xoá mã vận đơn
tab_transport,ques_package,tab_transport.ques_package,Are you sure delete {{name}} package?,Bạn có chắc chắn xoá kiện hàng {{name}} ?
tab_transport,ques_tracking,tab_transport.ques_tracking,Are you sure delete {{name}} tracking?,Bạn có chắc chắn xoá mã vận đơn {{name}} ?
fee,edit_fee,fee.edit_fee,,Sửa
fee,fee_empty,fee.fee_empty,,Chưa có bảng phí 
fee,add_other_fee,fee.add_other_fee,,Thêm phụ phí
fee,free,fee.free,Free,Miễn phí
fee,formula_amount,fee.formula_amount,,Tiền công thức
fee,fee_name,fee.fee_name,,Tên loại phí
fee,other_fee,fee.other_fee,,Phí khác
fee,handle_amount,fee.handle_amount,,Tiền tính tay
fee,service_fee,fee.service_fee,Service Fee,Phí dịch vụ
fee,delivery_fee,fee.delivery_fee,Delivery Fee,Phí vận chuyển
fee,payment_fee,fee.payment_fee,Payment Fee,Thanh toán
fee,change_fee_title,fee.change_fee_title,Change {{name}},Thay đổi {{name}}
fee,reason_change,fee.reason_change,Reason change,Lí do thay đổi phí
fee,deposit,fee.deposit,Deposit,Đặt cọc
fee,total,fee.total,Total,Tổng thanh toán
fee,refund,fee.refund,Refund,Trả lại
fee,refund_complaint,fee.refund_complaint,Refund from Complaint,Trả lại từ KNDV
fee,arrears,fee.arrears,Arrears,Còn thiếu
fee,edit_success,fee.edit_success,Success,Thay đổi phí thành công
fee,edit_failed,fee.edit_failed,Failed,Thay đổi phí thất bại
fee,missing_reason,fee.missing_reason,Mission reason,Lý do bắt buộc khi thay đổi phí
fee,add_title,fee.add_title,,Thêm phí mới
fee,choice_fee,fee.choice_fee,,Chọn loại phí
fee,reason_fee,fee.reason_fee,,Lý do
fee,btn_add,fee.btn_add,,Thêm phí mới
fee,btn_cancel,fee.btn_cancel,,Hủy
fee,money,fee.money,,Nhập số tiền
order_service,title_popup,order_service.title_popup,Select service,Lựa chọn dịch vụ
order_service,bt_cancel,order_service.bt_cancel,Cancel,Hủy
order_service,bt_submit,order_service.bt_submit,Submit,Xác nhận
order_service,msg_edit_fail,order_service.msg_edit_fail,Failed,Vui lòng thử lại
order_service,msg_edit_success,order_service.msg_edit_success,Success,Sửa dịch vụ thành công
comment,comment_failed,comment.comment_failed,Failed,Trao đổi thất bại
trade,transaction-title,trade.transaction-title,Transaction history,Lịch sử giao dịch
trade,time,trade.time,Time,Thời gian
trade,amount,trade.amount,Amount,Giá trị
trade,type,trade.type,Type,Loại giao dịch
trade,description,trade.description,Description,Mô tả
trade,transaction_empty,trade.transaction_empty,Transactions empty,Lịch sử giao dịch trống
